weekday,hour,member_casual,count
Friday,0,casual,4310
Friday,0,member,4848
Friday,1,casual,2699
Friday,1,member,2548
Friday,2,casual,1404
Friday,2,member,1337
Friday,3,casual,853
Friday,3,member,1048
Friday,4,casual,747
Friday,4,member,1373
Friday,5,casual,1763
Friday,5,member,5403
Friday,6,casual,6489
Friday,6,member,17719
Friday,7,casual,8893
Friday,7,member,28398
Friday,8,casual,10048
Friday,8,member,33255
Friday,9,casual,9260
Friday,9,member,22622
Friday,10,casual,11314
Friday,10,member,19794
Friday,11,casual,15063
Friday,11,member,25337
Friday,12,casual,19366
Friday,12,member,29917
Friday,13,casual,19709
Friday,13,member,30605
Friday,14,casual,20584
Friday,14,member,31431
Friday,15,casual,24058
Friday,15,member,38754
Friday,16,casual,27836
Friday,16,member,48688
Friday,17,casual,30276
Friday,17,member,53608
Friday,18,casual,27100
Friday,18,member,45117
Friday,19,casual,20077
Friday,19,member,31750
Friday,20,casual,14498
Friday,20,member,22256
Friday,21,casual,12185
Friday,21,member,17060
Friday,22,casual,12174
Friday,22,member,14515
Friday,23,casual,11010
Friday,23,member,11502
Monday,0,casual,3444
Monday,0,member,3222
Monday,1,casual,2125
Monday,1,member,1769
Monday,2,casual,1248
Monday,2,member,1115
Monday,3,casual,872
Monday,3,member,840
Monday,4,casual,710
Monday,4,member,1217
Monday,5,casual,1604
Monday,5,member,5494
Monday,6,casual,3807
Monday,6,member,17456
Monday,7,casual,7136
Monday,7,member,31015
Monday,8,casual,9156
Monday,8,member,38206
Monday,9,casual,8193
Monday,9,member,22165
Monday,10,casual,9645
Monday,10,member,17907
Monday,11,casual,12369
Monday,11,member,22021
Monday,12,casual,14952
Monday,12,member,25616
Monday,13,casual,15966
Monday,13,member,25204
Monday,14,casual,16379
Monday,14,member,25649
Monday,15,casual,18256
Monday,15,member,32778
Monday,16,casual,21584
Monday,16,member,48413
Monday,17,casual,25019
Monday,17,member,60677
Monday,18,casual,21124
Monday,18,member,47125
Monday,19,casual,16068
Monday,19,member,31896
Monday,20,casual,11314
Monday,20,member,21882
Monday,21,casual,8126
Monday,21,member,15133
Monday,22,casual,6117
Monday,22,member,9041
Monday,23,casual,3673
Monday,23,member,4917
Saturday,0,casual,9066
Saturday,0,member,8513
Saturday,1,casual,6875
Saturday,1,member,6078
Saturday,2,casual,4066
Saturday,2,member,3385
Saturday,3,casual,2066
Saturday,3,member,1975
Saturday,4,casual,1077
Saturday,4,member,1157
Saturday,5,casual,1323
Saturday,5,member,2020
Saturday,6,casual,2468
Saturday,6,member,5298
Saturday,7,casual,4495
Saturday,7,member,9834
Saturday,8,casual,9357
Saturday,8,member,17598
Saturday,9,casual,15686
Saturday,9,member,25493
Saturday,10,casual,23090
Saturday,10,member,31081
Saturday,11,casual,28978
Saturday,11,member,34835
Saturday,12,casual,33731
Saturday,12,member,37568
Saturday,13,casual,35643
Saturday,13,member,37345
Saturday,14,casual,36213
Saturday,14,member,36904
Saturday,15,casual,36573
Saturday,15,member,36457
Saturday,16,casual,35377
Saturday,16,member,35757
Saturday,17,casual,32089
Saturday,17,member,34519
Saturday,18,casual,27981
Saturday,18,member,32411
Saturday,19,casual,21690
Saturday,19,member,25615
Saturday,20,casual,16185
Saturday,20,member,18454
Saturday,21,casual,14675
Saturday,21,member,15962
Saturday,22,casual,14852
